experiment,scenario,mechanism,operation_mode,N,seed,method,param_name,param_value,obj,runtime_total,runtime_pricing,gap,status,error,num_iters,num_pricing_calls,num_columns_added,min_reduced_cost_last,pricing_time_share,cost_energy,cost_delay,shore_utilization,mode_shore_count,mode_battery_count,mode_brown_count,infeasible_jobs,shore_ratio,battery_ratio,brown_ratio,mechanism_counts,type_A_count,type_A_cost_energy,type_A_cost_delay,type_A_cost_total,type_A_shore_ratio,type_A_battery_ratio,type_A_brown_ratio,type_A_avg_tardy_hours,type_B_count,type_B_cost_energy,type_B_cost_delay,type_B_cost_total,type_B_shore_ratio,type_B_battery_ratio,type_B_brown_ratio,type_B_avg_tardy_hours,type_C_count,type_C_cost_energy,type_C_cost_delay,type_C_cost_total,type_C_shore_ratio,type_C_battery_ratio,type_C_brown_ratio,type_C_avg_tardy_hours,type_D_count,type_D_cost_energy,type_D_cost_delay,type_D_cost_total,type_D_shore_ratio,type_D_battery_ratio,type_D_brown_ratio,type_D_avg_tardy_hours,num_fully_masked,num_partially_masked,avg_masking_rate,time_saved_total,avg_stay_time,num_fully_masked_type_A,num_partially_masked_type_A,avg_masking_rate_type_A,num_fully_masked_type_B,num_partially_masked_type_B,avg_masking_rate_type_B,num_fully_masked_type_C,num_partially_masked_type_C,avg_masking_rate_type_C,num_fully_masked_type_D,num_partially_masked_type_D,avg_masking_rate_type_D
simops,U,hybrid,simops,25,4,fifo,operation_mode,simops,39577.076448655724,0.004535500018391758,,,ok,,,,,,,35777.07644865574,3800.0,1.0,11.0,14.0,0.0,0,0.44,0.56,0.0,"{'shore': 11, 'battery': 14, 'brown': 0}",4.0,10351.190854133034,2000.0,12351.190854133034,0.25,0.75,0.0,0.25,10.0,10104.952327483894,1800.0,11904.952327483894,0.7,0.3,0.0,0.225,3.0,4520.933267038805,0.0,4520.933267038805,0.0,1.0,0.0,0.0,8.0,10800.0,0.0,10800.0,0.375,0.625,0.0,0.0,18.0,5.0,0.7894405655531367,39.927179295878815,14.905316773335656,3.0,1.0,0.8569124560964835,5.0,3.0,0.5820616551015477,3.0,0.0,1.0,7.0,1.0,0.9359684704283757
simops,U,hybrid,sequential,25,4,cg,operation_mode,sequential,,,,,error,"User name mismatch (licensed to 'researcher', current user is 'codexsandboxoffline')",,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
simops,U,hybrid,sequential,25,4,greedy,operation_mode,sequential,45669.5404230856,0.011432199971750379,,,ok,,,,,,,42319.5404230856,3350.0,1.0,6.0,19.0,0.0,0,0.24,0.76,0.0,"{'shore': 6, 'battery': 19, 'brown': 0}",4.0,12376.865142040475,0.0,12376.865142040475,0.0,1.0,0.0,0.0,10.0,13421.74201400632,2600.0,16021.74201400632,0.4,0.6,0.0,0.325,3.0,4520.933267038805,0.0,4520.933267038805,0.0,1.0,0.0,0.0,8.0,12000.0,750.0,12750.0,0.25,0.75,0.0,0.0625,0.0,0.0,0.0,0.0,15.733047461609152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
simops,U,hybrid,sequential,25,4,fifo,operation_mode,sequential,45669.5404230856,0.0015329999732784927,,,ok,,,,,,,42319.5404230856,3350.0,1.0,6.0,19.0,0.0,0,0.24,0.76,0.0,"{'shore': 6, 'battery': 19, 'brown': 0}",4.0,12376.865142040475,0.0,12376.865142040475,0.0,1.0,0.0,0.0,10.0,13421.74201400632,2600.0,16021.74201400632,0.4,0.6,0.0,0.325,3.0,4520.933267038805,0.0,4520.933267038805,0.0,1.0,0.0,0.0,8.0,12000.0,750.0,12750.0,0.25,0.75,0.0,0.0625,0.0,0.0,0.0,0.0,15.733047461609152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
simops,U,hybrid,simops,25,5,cg,operation_mode,simops,,,,,error,"User name mismatch (licensed to 'researcher', current user is 'codexsandboxoffline')",,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
simops,U,hybrid,simops,25,5,greedy,operation_mode,simops,35666.6467981312,0.015843499975744635,,,ok,,,,,,,35666.6467981312,0.0,1.0,11.0,14.0,0.0,0,0.44,0.56,0.0,"{'shore': 11, 'battery': 14, 'brown': 0}",5.0,11038.45858304413,0.0,11038.45858304413,0.4,0.6,0.0,0.0,13.0,14053.219658432865,0.0,14053.219658432865,0.6153846153846154,0.38461538461538464,0.0,0.0,3.0,4574.968556654212,0.0,4574.968556654212,0.0,1.0,0.0,0.0,4.0,6000.0,0.0,6000.0,0.25,0.75,0.0,0.0,20.0,5.0,0.9372410883843577,58.33503315694816,15.970646434337901,4.0,1.0,0.910516729657019,10.0,3.0,0.9430535013638303,3.0,0.0,1.0,3.0,1.0,0.9046870108985124
simops,U,hybrid,simops,25,5,fifo,operation_mode,simops,35666.6467981312,0.004131100024096668,,,ok,,,,,,,35666.6467981312,0.0,1.0,11.0,14.0,0.0,0,0.44,0.56,0.0,"{'shore': 11, 'battery': 14, 'brown': 0}",5.0,11038.45858304413,0.0,11038.45858304413,0.4,0.6,0.0,0.0,13.0,14053.219658432865,0.0,14053.219658432865,0.6153846153846154,0.38461538461538464,0.0,0.0,3.0,4574.968556654212,0.0,4574.968556654212,0.0,1.0,0.0,0.0,4.0,6000.0,0.0,6000.0,0.25,0.75,0.0,0.0,21.0,4.0,0.9527848012764832,61.88807214652485,15.828524874754835,5.0,0.0,1.0,10.0,3.0,0.9385286144860022,3.0,0.0,1.0,3.0,1.0,0.9046870108985124
simops,U,hybrid,sequential,25,5,cg,operation_mode,sequential,,,,,error,"User name mismatch (licensed to 'researcher', current user is 'codexsandboxoffline')",,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
simops,U,hybrid,sequential,25,5,greedy,operation_mode,sequential,45140.902072801975,0.00857259996701032,,,ok,,,,,,,43740.902072801975,1400.0,1.0,6.0,19.0,0.0,0,0.24,0.76,0.0,"{'shore': 6, 'battery': 19, 'brown': 0}",5.0,15577.262795882436,0.0,15577.262795882436,0.0,1.0,0.0,0.0,13.0,17588.67072026533,1400.0,18988.67072026533,0.38461538461538464,0.6153846153846154,0.0,0.1346153846153846,3.0,4574.968556654212,0.0,4574.968556654212,0.0,1.0,0.0,0.0,4.0,6000.0,0.0,6000.0,0.25,0.75,0.0,0.0,0.0,0.0,0.0,0.0,17.58415060065377,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
simops,U,hybrid,sequential,25,5,fifo,operation_mode,sequential,45140.902072801975,0.0016036999877542257,,,ok,,,,,,,43740.902072801975,1400.0,1.0,6.0,19.0,0.0,0,0.24,0.76,0.0,"{'shore': 6, 'battery': 19, 'brown': 0}",5.0,15577.262795882436,0.0,15577.262795882436,0.0,1.0,0.0,0.0,13.0,17588.67072026533,1400.0,18988.67072026533,0.38461538461538464,0.6153846153846154,0.0,0.1346153846153846,3.0,4574.968556654212,0.0,4574.968556654212,0.0,1.0,0.0,0.0,4.0,6000.0,0.0,6000.0,0.25,0.75,0.0,0.0,0.0,0.0,0.0,0.0,17.58415060065377,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
simops,U,hybrid,simops,25,6,cg,operation_mode,simops,,,,,error,"User name mismatch (licensed to 'researcher', current user is 'codexsandboxoffline')",,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
