obj,runtime_total,runtime_pricing,gap,gap_pct,lp_lower_bound,lp_obj_final_pool,irmp_obj,best_reduced_cost_last,num_negative_columns_last,num_columns_total,iterations,runtime_sec,cg_status,gap_type,full_pricing_converged,pricing_converged,objective_stabilized,relative_improvement_last_5,injected_columns_count,injected_incumbent_methods,min_reduced_cost,status,operation_mode,lp_status,ip_status,success,num_iters,num_pricing_calls,num_columns_added,n_columns_generated,min_reduced_cost_last,pricing_time_share,infeasible_jobs,cost_energy,cost_delay,type_A_count,type_A_cost_energy,type_A_cost_delay,type_A_cost_total,type_A_shore_ratio,type_A_battery_ratio,type_A_brown_ratio,type_A_avg_tardy_hours,type_B_count,type_B_cost_energy,type_B_cost_delay,type_B_cost_total,type_B_shore_ratio,type_B_battery_ratio,type_B_brown_ratio,type_B_avg_tardy_hours,type_C_count,type_C_cost_energy,type_C_cost_delay,type_C_cost_total,type_C_shore_ratio,type_C_battery_ratio,type_C_brown_ratio,type_C_avg_tardy_hours,type_D_count,type_D_cost_energy,type_D_cost_delay,type_D_cost_total,type_D_shore_ratio,type_D_battery_ratio,type_D_brown_ratio,type_D_avg_tardy_hours,num_fully_masked,num_partially_masked,avg_masking_rate,time_saved_total,avg_stay_time,num_fully_masked_type_A,num_partially_masked_type_A,avg_masking_rate_type_A,num_fully_masked_type_B,num_partially_masked_type_B,avg_masking_rate_type_B,num_fully_masked_type_C,num_partially_masked_type_C,avg_masking_rate_type_C,num_fully_masked_type_D,num_partially_masked_type_D,avg_masking_rate_type_D,method,mode_shore_count,mode_battery_count,mode_brown_count,SP_share,BS_share,AE_share,objective,total_cost,delay_cost,avg_stay_h,masking_rate,N,scenario,seed,avg_delay_h,simops_saving_pct,dominance_check_passed
578475.6166288754,6.814002000000983,1.4237075999990338,0.0,0.0,578475.6166288754,578475.6166288754,578475.6166288754,0.0,524,2439,15,6.814002000000983,budgeted_max_iter,Pool LP-IP gap,False,False,False,0.0,230,Greedy:200;FIFO:200,0.0,ok,sequential,Optimal,Optimal,True,15,3000,2131,2439,0.0,0.2089385356797413,0,576675.6166288754,1800.0,32,100994.1115586618,0.0,100994.1115586618,0.0,1.0,0.0,0.0,107,304100.8108632076,800.0,304900.8108632076,0.0841121495327102,0.2710280373831775,0.6448598130841121,0.0093457943925233,36,107980.69420700562,1000.0,108980.69420700562,0.0,0.0833333333333333,0.9166666666666666,0.0555555555555555,25,63600.0,0.0,63600.0,0.16,0.32,0.52,0.0,0,0,0.0,0.0,7.8643481673398785,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,CG+IR,13,72,115,0.065,0.36,0.575,578475.6166288754,578475.6166288754,1800.0,7.8643481673398785,0.0,200,U,1,,,
525417.6739598438,34.2517742,3.088405300000886,2.427725233611861e-05,0.0024277252336118,525404.9182623912,525404.9182623912,525417.6739598438,-111.50101046196096,6217,10553,20,34.2517742,budgeted_stabilized,Pool LP-IP gap,False,False,True,7.787611371907623e-11,425,CG+IR sequential:200;Greedy:200;FIFO:200,-111.50101046196096,ok,simops,Optimal,Optimal,True,20,4000,10080,10553,-111.50101046196096,0.0901677466973633,0,523292.6739598438,2125.0,32,100994.1115586618,0.0,100994.1115586618,0.0,1.0,0.0,0.0,107,232717.86819417612,1000.0,233717.86819417612,0.1588785046728972,0.514018691588785,0.3271028037383177,0.0116822429906542,36,107980.69420700562,1125.0,109105.69420700562,0.0,0.0833333333333333,0.9166666666666666,0.0625,25,81600.0,0.0,81600.0,0.04,0.12,0.84,0.0,49,11,0.2645906607348939,69.83936708114159,15.715440220797207,13,1,0.4160458466488618,33,10,0.3420996734038803,0,0,0.0,3,0,0.12,CG+IR,18,93,89,0.09,0.465,0.445,525417.6739598438,525417.6739598438,2125.0,15.715440220797207,0.2645906607348939,200,U,1,,9.172027505365229,1.0
592034.4141693121,9.431638099998963,2.078171800001656,0.0,0.0,592034.4141693121,592034.4141693121,592034.4141693121,-291.8151443146003,246,2646,20,9.431638099998963,budgeted_stabilized,Pool LP-IP gap,False,False,True,0.0,243,Greedy:200;FIFO:200,-291.8151443146003,ok,sequential,Optimal,Optimal,True,20,4000,2327,2646,-291.8151443146003,0.2203404941928257,0,590334.4141693121,1700.0,42,133865.2372979468,0.0,133865.2372979468,0.0,1.0,0.0,0.0,100,281375.5330693648,200.0,281575.5330693648,0.07,0.25,0.68,0.0025,27,80293.64380200053,1500.0,81793.64380200053,0.0,0.1481481481481481,0.8518518518518519,0.1111111111111111,31,94800.0,0.0,94800.0,0.1612903225806451,0.032258064516129,0.8064516129032258,0.0,0,0,0.0,0.0,7.991066766352842,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,CG+IR,12,72,116,0.06,0.36,0.58,592034.4141693121,592034.4141693121,1700.0,7.991066766352842,0.0,200,U,2,,,
539083.6193973668,35.33644400000048,3.2576176000002306,1.8705839370974916e-11,1.8705839370974916e-09,539083.6193872828,539083.6193872828,539083.6193973668,-288.4192517331869,3483,10439,20,35.33644400000048,budgeted_stabilized,Pool LP-IP gap,False,False,True,0.0,401,CG+IR sequential:200;Greedy:200;FIFO:200,-288.4192517331869,ok,simops,Optimal,Optimal,True,20,4000,9978,10439,-288.4192517331869,0.09218860845194797,0,538108.6193973668,975.0,42,133865.2372979468,0.0,133865.2372979468,0.0,1.0,0.0,0.0,100,222761.82456382766,600.0,223361.82456382766,0.13,0.48,0.39,0.0075,27,81881.55753559223,375.0,82256.55753559223,0.0,0.1111111111111111,0.8888888888888888,0.027777777777777776,31,99600.0,0.0,99600.0,0.12903225806451613,0.0,0.8709677419354839,0.0,44,6,0.2323549330830042,71.34283021114754,15.101688356695327,15,1,0.3583794672237629,27,3,0.28754023361856673,0,0,0.0,2,2,0.08596856875310083,CG+IR,17,93,90,0.085,0.465,0.45,539083.6193973668,539083.6193973668,975.0,15.101688356695327,0.2323549330830042,200,U,2,,8.943871083278324,1.0
