obj,runtime_total,runtime_pricing,gap,gap_pct,lp_lower_bound,lp_obj_final_pool,irmp_obj,pool_gap_pct,min_reduced_cost_scanned_last,num_negative_columns_scanned_last,num_columns_added_last,min_reduced_cost_added_last,best_reduced_cost_last,num_negative_columns_last,num_columns_total,iterations,runtime_sec,cg_status,gap_type,full_pricing_converged,pricing_converged,objective_stabilized,relative_improvement_last_5,injected_columns_count,injected_incumbent_methods,min_reduced_cost,status,operation_mode,lp_status,ip_status,success,num_iters,num_pricing_calls,num_columns_added,n_columns_generated,min_reduced_cost_last,pricing_time_share,infeasible_jobs,cost_energy,cost_delay,type_A_count,type_A_cost_energy,type_A_cost_delay,type_A_cost_total,type_A_shore_ratio,type_A_battery_ratio,type_A_brown_ratio,type_A_avg_tardy_hours,type_B_count,type_B_cost_energy,type_B_cost_delay,type_B_cost_total,type_B_shore_ratio,type_B_battery_ratio,type_B_brown_ratio,type_B_avg_tardy_hours,type_C_count,type_C_cost_energy,type_C_cost_delay,type_C_cost_total,type_C_shore_ratio,type_C_battery_ratio,type_C_brown_ratio,type_C_avg_tardy_hours,type_D_count,type_D_cost_energy,type_D_cost_delay,type_D_cost_total,type_D_shore_ratio,type_D_battery_ratio,type_D_brown_ratio,type_D_avg_tardy_hours,num_fully_masked,num_partially_masked,avg_masking_rate,time_saved_total,avg_stay_time,num_fully_masked_type_A,num_partially_masked_type_A,avg_masking_rate_type_A,num_fully_masked_type_B,num_partially_masked_type_B,avg_masking_rate_type_B,num_fully_masked_type_C,num_partially_masked_type_C,avg_masking_rate_type_C,num_fully_masked_type_D,num_partially_masked_type_D,avg_masking_rate_type_D,avg_delay_h,delay_cost,emissions_total_kg,emissions_total_tCO2,mode_shore_count,mode_battery_count,mode_brown_count,SP_share,BS_share,AE_share,objective,total_cost,avg_stay_h,masking_rate,N,scenario,seed,method,dominance_check_passed,stabilization_applicable,objective_stabilized_rate_display,simops_saving_pct
253216.75304010254,3.5582885000039823,0.5490251000082935,0.0002468212080485468,0.02468212080485468,253154.25377521905,253154.25377521905,253216.75304010254,0.02468212080485468,-432.1492381541134,441,0,0.0,-432.1492381541134,441,1932,10,3.5582885000039823,budgeted_max_iter,Pool LP-IP gap,False,False,False,0.0,126,Greedy:110;FIFO:110,-432.1492381541134,ok,sequential,Optimal,Optimal,True,10,1100,1743,1932,-432.1492381541134,0.15429471219314542,0,251891.75304010254,1325.0,20,62167.733054101875,0.0,62167.733054101875,0.0,1.0,0.0,0.0,54,112796.63577065381,1200.0,113996.63577065381,0.2037037037037037,0.4444444444444444,0.35185185185185186,0.027777777777777776,20,47527.384215346785,125.0,47652.384215346785,0.0,0.45,0.55,0.0125,16,29400.0,0.0,29400.0,0.0625,0.875,0.0625,0.0,0,0,0.0,0.0,12.764767621609206,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0.04534695278746416,1325.0,241459.95606241564,241.45995606241564,12,67,31,0.10909090909090909,0.6090909090909091,0.2818181818181818,253216.75304010254,253216.75304010254,12.764767621609206,0.0,110,U,1,CG+IR,True,True,False,
206962.13433448982,25.26930010000069,1.702591899993422,0.0010794342146044614,0.10794342146044614,206738.7323255616,206738.7323255616,206962.13433448982,0.10794342146044614,-110.55696682002167,3217,30,-71.80936819023827,-110.55696682002167,3217,6863,20,25.26930010000069,budgeted_max_iter,Pool LP-IP gap,False,False,False,0.0,274,incumbent:110;Greedy:110;FIFO:110,-110.55696682002167,ok,simops,Optimal,Optimal,True,20,2200,6526,6863,-110.55696682002167,0.0673778811940017,0,206012.13433448982,950.0,20,62167.733054101875,0.0,62167.733054101875,0.0,1.0,0.0,0.0,54,79987.10404315486,200.0,80187.10404315486,0.2962962962962963,0.6666666666666666,0.037037037037037035,0.004629629629629629,20,35057.29723723301,750.0,35807.29723723301,0.0,0.85,0.15,0.075,16,28800.0,0.0,28800.0,0.0,1.0,0.0,0.0,39,13,0.4158834634625027,62.71325947391531,15.793365448155885,8,1,0.4174109485630912,18,9,0.41966626876883073,3,1,0.1952626629724995,10,2,0.676983139790414,0.03421325524498846,950.0,217963.39062353797,217.96339062353798,16,89,5,0.14545454545454545,0.8090909090909091,0.045454545454545456,206962.13433448982,206962.13433448982,15.793365448155885,0.4158834634625027,110,U,1,CG+IR,True,True,False,18.26680823850832
274638.78226624534,3.4849918999971123,0.5683297000068706,0.0,0.0,274638.7822662454,274638.7822662454,274638.78226624534,0.0,-374.0722636195487,481,0,0.0,-374.0722636195487,481,1993,10,3.4849918999971123,budgeted_max_iter,Pool LP-IP gap,False,False,False,0.0,130,Greedy:110;FIFO:110,-374.0722636195487,ok,sequential,Optimal,Optimal,True,10,1100,1801,1993,-374.0722636195487,0.16307920256782849,0,271438.78226624534,3200.0,24,74750.86136446585,0.0,74750.86136446585,0.0,1.0,0.0,0.0,59,128617.59646613122,2200.0,130817.59646613122,0.15254237288135594,0.4915254237288136,0.3559322033898305,0.046610169491525424,13,38070.32443564832,250.0,38320.32443564832,0.0,0.23076923076923078,0.7692307692307693,0.038461538461538464,14,30000.0,750.0,30750.0,0.14285714285714285,0.5714285714285714,0.2857142857142857,0.03571428571428571,0,0,0.0,0.0,12.505325089361378,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0.057139114879102205,3200.0,256383.92807890847,256.38392807890847,11,64,35,0.1,0.5818181818181818,0.3181818181818182,274638.78226624534,274638.78226624534,12.505325089361378,0.0,110,U,2,CG+IR,True,True,False,
216966.4164126222,31.679258399999526,1.8363947999969241,0.0,0.0,216966.4164126222,216966.4164126222,216966.4164126222,0.0,-400.0000127680481,2451,55,-171.09944636194086,-400.0000127680481,2451,9252,20,31.679258399999526,budgeted_stabilized,Pool LP-IP gap,False,False,True,0.0,283,incumbent:110;Greedy:110;FIFO:110,-400.0000127680481,ok,simops,Optimal,Optimal,True,20,2200,8904,9252,-400.0000127680481,0.05796836456237724,0,215316.4164126222,1650.0,24,74750.86136446585,0.0,74750.86136446585,0.0,1.0,0.0,0.0,59,92086.18735488459,1400.0,93486.18735488459,0.2542372881355932,0.711864406779661,0.03389830508474576,0.029661016949152543,13,24479.367693271797,250.0,24729.367693271797,0.0,0.8461538461538461,0.15384615384615385,0.038461538461538464,14,24000.0,0.0,24000.0,0.07142857142857142,0.9285714285714286,0.0,0.0,46,12,0.4653454663940678,73.27704365864973,16.003018969397047,11,1,0.4657872263039735,18,11,0.38998487918732383,4,0,0.3076923076923077,13,0,0.9285714285714286,0.040965441982227783,1650.0,227016.84250389662,227.0168425038966,16,90,4,0.14545454545454545,0.8181818181818182,0.03636363636363636,216966.4164126222,216966.4164126222,16.003018969397047,0.4653454663940678,110,U,2,CG+IR,True,True,True,20.99935245041734
263541.12668413715,2.8564259999984642,0.4786937000026228,0.0,0.0,263541.12668413715,263541.12668413715,263541.12668413715,0.0,-382.98733225898513,435,0,0.0,-382.98733225898513,435,1676,9,2.8564259999984642,budgeted_max_iter,Pool LP-IP gap,False,False,False,0.0,127,Greedy:110;FIFO:110,-382.98733225898513,ok,sequential,Optimal,Optimal,True,9,990,1481,1676,-382.98733225898513,0.16758484203787535,0,260816.12668413713,2725.0,20,63469.153160243026,0.0,63469.153160243026,0.0,1.0,0.0,0.0,58,125258.97549330583,1600.0,126858.97549330583,0.1724137931034483,0.4482758620689655,0.3793103448275862,0.034482758620689655,20,51687.998030588176,1125.0,52812.998030588176,0.0,0.35,0.65,0.1125,12,20400.0,0.0,20400.0,0.08333333333333333,0.9166666666666666,0.0,0.0,0,0,0.0,0.0,11.886315003186926,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0.06406025255807729,2725.0,246613.73339683132,246.61373339683132,11,64,35,0.1,0.5818181818181818,0.3181818181818182,263541.12668413715,263541.12668413715,11.886315003186926,0.0,110,U,3,CG+IR,True,True,False,
211196.22744657763,26.010551100000157,1.715984699971159,0.0006279118838115258,0.06279118838115258,211063.61482554776,211063.61482554776,211196.22744657763,0.06279118838115258,-123.57198402712265,3208,5,-4.6716055294382386e-05,-123.57198402712265,3208,7991,20,26.010551100000157,budgeted_max_iter,Pool LP-IP gap,False,False,False,5.8803733215477866e-12,275,incumbent:110;Greedy:110;FIFO:110,-123.57198402712265,ok,simops,Optimal,Optimal,True,20,2200,7657,7991,-123.57198402712265,0.06597263907919078,0,209421.22744657763,1775.0,20,63469.153160243026,0.0,63469.153160243026,0.0,1.0,0.0,0.0,58,88515.21491802298,400.0,88915.21491802298,0.29310344827586204,0.6551724137931034,0.05172413793103448,0.008620689655172414,20,35836.85936831166,1375.0,37211.85936831166,0.0,0.85,0.15,0.1375,12,21600.0,0.0,21600.0,0.0,1.0,0.0,0.0,45,8,0.4439913676183667,69.62906239165191,16.11514915366084,8,0,0.4,24,8,0.47998362824172996,6,0,0.3,7,0,0.5833333333333334,0.05301389567689473,1775.0,220620.53857484664,220.62053857484665,17,87,6,0.15454545454545454,0.7909090909090909,0.05454545454545454,211196.22744657763,211196.22744657763,16.11514915366084,0.4439913676183667,110,U,3,CG+IR,True,True,False,19.86213684981951
254630.7942791791,2.493639100001019,0.3962208000011742,0.0,0.0,254630.7942791791,254630.7942791791,254630.7942791791,0.0,-410.2243596786875,437,0,0.0,-410.2243596786875,437,1752,7,2.493639100001019,budgeted_max_iter,Pool LP-IP gap,False,False,False,0.0,125,Greedy:110;FIFO:110,-410.2243596786875,ok,sequential,Optimal,Optimal,True,7,770,1556,1752,-410.2243596786875,0.15889259997608007,0,251855.7942791791,2775.0,17,53655.38673211361,0.0,53655.38673211361,0.0,1.0,0.0,0.0,61,115329.95506864623,2400.0,117729.95506864623,0.18032786885245902,0.6557377049180327,0.16393442622950818,0.04918032786885246,12,34870.4524784194,0.0,34870.4524784194,0.0,0.08333333333333333,0.9166666666666666,0.0,20,48000.0,375.0,48375.0,0.1,0.5,0.4,0.0125,0,0,0.0,0.0,13.348977017104186,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0.058435884480952924,2775.0,243600.29512899034,243.60029512899035,13,68,29,0.11818181818181818,0.6181818181818182,0.2636363636363636,254630.7942791791,254630.7942791791,13.348977017104186,0.0,110,U,4,CG+IR,True,True,False,
202849.04159781738,30.234334200002195,1.819821899982344,0.0003917607910767227,0.03917607910767227,202769.57329681187,202769.57329681187,202849.04159781738,0.03917607910767227,-200.00004415694957,1509,3,-184.8743734911268,-200.00004415694957,1509,7726,20,30.234334200002195,budgeted_max_iter,Pool LP-IP gap,False,False,False,0.0,274,incumbent:110;Greedy:110;FIFO:110,-200.00004415694957,ok,simops,Optimal,Optimal,True,20,2200,7383,7726,-200.00004415694957,0.0601905730069694,0,202049.04159781738,800.0,17,53655.38673211361,0.0,53655.38673211361,0.0,1.0,0.0,0.0,61,94178.26049466795,800.0,94978.26049466795,0.2786885245901639,0.7213114754098361,0.0,0.01639344262295082,12,18215.39437103589,0.0,18215.39437103589,0.0,1.0,0.0,0.0,20,36000.0,0.0,36000.0,0.0,1.0,0.0,0.0,46,13,0.4687227081729946,64.43948594536401,16.2793899372969,7,2,0.4630442911207452,20,11,0.4047171303274877,8,0,0.6666666666666666,11,0,0.55,0.029271864733565293,800.0,217322.48606738262,217.3224860673826,17,93,0,0.15454545454545454,0.8454545454545455,0.0,202849.04159781738,202849.04159781738,16.2793899372969,0.4687227081729946,110,U,4,CG+IR,True,True,False,20.33601349277017
270575.1731792711,2.549105599995528,0.46443550000549294,2.151256533610406e-16,2.151256533610406e-14,270575.17317927105,270575.17317927105,270575.1731792711,2.151256533610406e-14,-415.1650271740614,409,0,0.0,-415.1650271740614,409,1659,8,2.549105599995528,budgeted_max_iter,Pool LP-IP gap,False,False,False,0.0,116,Greedy:110;FIFO:110,-415.1650271740614,ok,sequential,Optimal,Optimal,True,8,880,1483,1659,-415.1650271740614,0.18219547279889375,0,268125.1731792711,2450.0,19,62077.502299093074,0.0,62077.502299093074,0.0,1.0,0.0,0.0,55,109041.7935966833,2200.0,111241.7935966833,0.16363636363636364,0.6,0.23636363636363636,0.05,18,50805.877283494665,250.0,51055.877283494665,0.0,0.2222222222222222,0.7777777777777778,0.027777777777777776,18,46200.0,0.0,46200.0,0.1111111111111111,0.3888888888888889,0.5,0.0,0,0,0.0,0.0,11.460900749029562,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0.054495263428669234,2450.0,251645.11535037105,251.64511535037104,11,63,36,0.1,0.5727272727272728,0.32727272727272727,270575.1731792711,270575.1731792711,11.460900749029562,0.0,110,U,5,CG+IR,True,True,False,
219032.68309303964,26.002841100002115,1.7771019999854616,0.0003551629860422741,0.03551629860422741,218954.89079127146,218954.89079127146,219032.68309303964,0.03551629860422741,-201.21272717406146,896,12,-46.08537627731221,-201.21272717406146,896,7940,20,26.002841100002115,budgeted_max_iter,Pool LP-IP gap,False,False,False,1.019439414445272e-10,273,incumbent:110;Greedy:110;FIFO:110,-201.21272717406146,ok,simops,Optimal,Optimal,True,20,2200,7611,7940,-201.21272717406146,0.06834260891535106,0,218007.68309303964,1025.0,19,62077.502299093074,0.0,62077.502299093074,0.0,1.0,0.0,0.0,55,87205.4385941557,400.0,87605.4385941557,0.2727272727272727,0.6545454545454545,0.07272727272727272,0.00909090909090909,18,37524.74219979079,625.0,38149.74219979079,0.0,0.6666666666666666,0.3333333333333333,0.06944444444444445,18,31200.0,0.0,31200.0,0.05555555555555555,0.9444444444444444,0.0,0.0,43,10,0.4321244934300458,67.38586490347957,14.792887179243317,9,0,0.47368421052631576,16,10,0.3733398959510007,5,0,0.2777777777777778,13,0,0.7222222222222222,0.041382649928233484,1025.0,226396.42523975804,226.39642523975803,16,84,10,0.14545454545454545,0.7636363636363637,0.09090909090909091,219032.68309303964,219032.68309303964,14.792887179243317,0.4321244934300458,110,U,5,CG+IR,True,True,False,19.049231117772102
